type,species_common,species_scientific,hour,detections,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,4,5,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,6,1,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,7,11,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,8,25,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,9,10,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,10,7,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,11,9,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,12,3,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,13,14,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,14,21,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,15,18,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,16,29,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,17,36,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,18,87,,,,
mammal,Ateles geoffroyi,Ateles geoffroyi,19,2,,,,
bird,Trogon caligatus,Trogon caligatus,7,24,,,,
bird,Trogon caligatus,Trogon caligatus,8,23,,,,
bird,Trogon caligatus,Trogon caligatus,9,43,,,,
bird,Trogon caligatus,Trogon caligatus,10,29,,,,
bird,Trogon caligatus,Trogon caligatus,11,11,,,,
bird,Trogon caligatus,Trogon caligatus,12,10,,,,
bird,Trogon caligatus,Trogon caligatus,13,20,,,,
bird,Trogon caligatus,Trogon caligatus,14,6,,,,
bird,Trogon caligatus,Trogon caligatus,15,3,,,,
bird,Trogon caligatus,Trogon caligatus,16,11,,,,
bird,Trogon caligatus,Trogon caligatus,17,1,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,7,75,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,8,324,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,9,355,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,10,262,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,11,242,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,12,224,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,13,249,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,14,399,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,15,244,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,16,733,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,17,1274,,,,
bird,Myiarchus crinitus,Myiarchus crinitus,18,35,,,,
bird,Psilorhinus morio,Psilorhinus morio,6,1,,,,
bird,Psilorhinus morio,Psilorhinus morio,7,546,,,,
bird,Psilorhinus morio,Psilorhinus morio,8,306,,,,
bird,Psilorhinus morio,Psilorhinus morio,9,306,,,,
bird,Psilorhinus morio,Psilorhinus morio,10,236,,,,
bird,Psilorhinus morio,Psilorhinus morio,11,297,,,,
bird,Psilorhinus morio,Psilorhinus morio,12,162,,,,
bird,Psilorhinus morio,Psilorhinus morio,13,166,,,,
bird,Psilorhinus morio,Psilorhinus morio,14,251,,,,
bird,Psilorhinus morio,Psilorhinus morio,15,250,,,,
bird,Psilorhinus morio,Psilorhinus morio,16,214,,,,
bird,Psilorhinus morio,Psilorhinus morio,17,221,,,,
bird,Psilorhinus morio,Psilorhinus morio,18,89,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,7,77,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,8,237,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,9,334,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,10,300,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,11,66,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,12,48,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,13,20,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,14,34,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,15,70,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,16,134,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,17,164,,,,
bird,Ramphastos sulfuratus,Ramphastos sulfuratus,18,72,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,7,375,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,8,224,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,9,130,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,10,30,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,11,55,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,12,64,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,13,13,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,14,23,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,15,26,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,16,104,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,17,265,,,,
bird,Hylocichla mustelina,Hylocichla mustelina,18,186,,,,
bird,Setophaga citrina,Setophaga citrina,7,112,,,,
bird,Setophaga citrina,Setophaga citrina,8,32,,,,
bird,Setophaga citrina,Setophaga citrina,9,101,,,,
bird,Setophaga citrina,Setophaga citrina,10,84,,,,
bird,Setophaga citrina,Setophaga citrina,11,130,,,,
bird,Setophaga citrina,Setophaga citrina,12,144,,,,
bird,Setophaga citrina,Setophaga citrina,13,68,,,,
bird,Setophaga citrina,Setophaga citrina,14,66,,,,
bird,Setophaga citrina,Setophaga citrina,15,78,,,,
bird,Setophaga citrina,Setophaga citrina,16,168,,,,
bird,Setophaga citrina,Setophaga citrina,17,188,,,,
bird,Setophaga citrina,Setophaga citrina,18,118,,,,
mammal,Alouatta pigra,Alouatta pigra,4,16,,,,
mammal,Alouatta pigra,Alouatta pigra,5,26,,,,
mammal,Alouatta pigra,Alouatta pigra,6,24,,,,
mammal,Alouatta pigra,Alouatta pigra,7,0,,,,
mammal,Alouatta pigra,Alouatta pigra,8,0,,,,
mammal,Alouatta pigra,Alouatta pigra,9,0,,,,
mammal,Alouatta pigra,Alouatta pigra,10,0,,,,
mammal,Alouatta pigra,Alouatta pigra,11,0,,,,
mammal,Alouatta pigra,Alouatta pigra,12,0,,,,
mammal,Alouatta pigra,Alouatta pigra,13,0,,,,
mammal,Alouatta pigra,Alouatta pigra,14,0,,,,
mammal,Alouatta pigra,Alouatta pigra,15,0,,,,
mammal,Alouatta pigra,Alouatta pigra,16,0,,,,
mammal,Alouatta pigra,Alouatta pigra,17,0,,,,
mammal,Alouatta pigra,Alouatta pigra,18,5,,,,
