rank,species_common,species_scientific,detections,photo_url
1,Ateles geoffroyi,Ateles geoffroyi,278,
2,Alouatta pigra,Alouatta pigra,71,
3,Myiarchus crinitus,Myiarchus crinitus,4416,
4,Psilorhinus morio,Psilorhinus morio,3045,
5,Ramphastos sulfuratus,Ramphastos sulfuratus,1556,
6,Hylocichla mustelina,Hylocichla mustelina,1495,
7,Setophaga citrina,Setophaga citrina,1289,
8,Saltator atriceps,Saltator atriceps,1130,
9,Setophaga magnolia,Setophaga magnolia,1097,
10,Geothlypis formosa,Geothlypis formosa,1095,
11,Platyrinchus cancrominus,Platyrinchus cancrominus,1049,
