Site,Confidence,File,Date,Year,Month,Day,HH,MM
R313,0.995,0.995_1_R313_20240816_194200_45.0s_48.0s.wav,16/08/2024,2024,8,16,19,42
R302,0.994,0.994_1_R302_20240818_092600_39.0s_42.0s.wav,18/08/2024,2024,8,18,9,26
R313,0.989,0.989_1_R313_20240802_194400_48.0s_51.0s.wav,02/08/2024,2024,8,2,19,44
R302,0.988,0.988_1_R302_20240816_072800_30.0s_33.0s.wav,16/08/2024,2024,8,16,7,28
R515,0.987,0.987_1_R515_20250105_085000_3.0s_6.0s.wav,05/01/2025,2025,1,5,8,50
R513,0.987,0.987_1_R513_20241020_080600_9.0s_12.0s.wav,20/10/2024,2024,10,20,8,6
R304,0.987,0.987_1_R304_20240817_182600_51.0s_54.0s.wav,17/08/2024,2024,8,17,18,26
R451,0.984,0.984_1_R451_20240813_180800_54.0s_57.0s.wav,13/08/2024,2024,8,13,18,8
R304,0.981,0.981_1_R304_20240802_074600_57.0s_60.0s.wav,02/08/2024,2024,8,2,7,46
R418,0.98,0.980_1_R418_20240814_194200_48.0s_51.0s.wav,14/08/2024,2024,8,14,19,42
R515,0.979,0.979_1_R515_20241227_181200_36.0s_39.0s.wav,27/12/2024,2024,12,27,18,12
R204,0.976,0.976_1_R204_20250102_123400_21.0s_24.0s.wav,02/01/2025,2025,1,2,12,34
R304,0.975,0.975_1_R304_20240810_120000_0.0s_3.0s.wav,10/08/2024,2024,8,10,12,0
R305,0.974,0.974_1_R305_20250102_183200_42.00s_45.00s.wav,02/01/2025,2025,1,2,18,32
R613,0.974,0.974_1_R613_20241223_160200_33.00s_36.00s.wav,23/12/2024,2024,12,23,16,2
R613,0.973,0.973_2_R613_20241219_181000_12.00s_15.00s.wav,19/12/2024,2024,12,19,18,10
R613,0.972,0.972_1_R613_20241231_180000_48.00s_51.00s.wav,31/12/2024,2024,12,31,18,0
R513,0.969,0.969_1_R513_20241025_183200_45.0s_48.0s.wav,25/10/2024,2024,10,25,18,32
R515,0.968,0.968_1_R515_20250107_183800_54.0s_57.0s.wav,07/01/2025,2025,1,7,18,38
R304,0.968,0.968_1_R304_20240731_185800_6.0s_9.0s.wav,31/07/2024,2024,7,31,18,58
R302,0.966,0.966_1_R302_20240813_071600_33.0s_36.0s.wav,13/08/2024,2024,8,13,7,16
R101,0.966,0.966_2_R101_20241218_161000_27.00s_30.00s.wav,18/12/2024,2024,12,18,16,10
R302,0.965,0.965_1_R302_20241220_091600_9.00s_12.00s.wav,20/12/2024,2024,12,20,9,16
R304,0.964,0.964_1_R304_20240816_144400_45.0s_48.0s.wav,16/08/2024,2024,8,16,14,44
